src,dest,ttl,win,len,mal
192.168.43.71 , 67.106.145.165 ,128,17520,40,0
67.106.145.165 , 192.168.43.71 ,231,8190,44,0
192.168.43.71 , 67.106.145.165 ,128,17520,40,0
192.168.43.71 , 67.106.145.165 ,128,17520,557,0
192.168.43.71 , 23.77.61.199 ,128,65,40,0
192.168.43.71 , 151.101.8.175 ,128,578,599,0
104.108.198.176 , 192.168.43.71 ,57,326,1340,0
192.168.43.71 , 104.108.198.176 ,128,1320,40,0
104.108.198.176 , 192.168.43.71 ,57,326,1340,0
192.168.43.71 , 104.108.198.176 ,128,1320,40,0
104.108.198.176 , 192.168.43.71 ,57,326,1340,0
104.108.198.176 , 192.168.43.71 ,57,326,604,0
192.168.43.71 , 104.108.198.176 ,128,1320,40,0
151.101.8.175 , 192.168.43.71 ,56,64,40,0
192.168.43.71 , 151.101.8.175 ,128,17520,52,0
192.168.43.71 , 151.101.8.175 ,128,17520,52,0
151.101.8.175 , 192.168.43.71 ,56,64,767,0
151.101.8.175 , 192.168.43.71 ,56,64,594,0
192.168.43.71 , 151.101.8.175 ,128,573,40,0
104.108.198.176 , 192.168.43.71 ,57,378,728,0
192.168.43.71 , 151.101.8.175 ,128,17520,52,0
192.168.43.71 , 104.108.198.176 ,128,65,40,0
151.101.8.175 , 192.168.43.71 ,56,28400,52,0
151.101.8.175 , 192.168.43.71 ,56,28400,52,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
192.168.43.71 , 151.101.8.175 ,128,68,557,0
192.168.43.71 , 151.101.8.175 ,128,68,557,0
67.106.145.165 , 192.168.43.71 ,231,34654,1260,0
67.106.145.165 , 192.168.43.71 ,231,34654,1260,0
67.106.145.165 , 192.168.43.71 ,231,34654,487,0
192.168.43.71 , 67.106.145.165 ,128,17520,40,0
151.101.8.175 , 192.168.43.71 ,56,58,40,0
151.101.8.175 , 192.168.43.71 ,56,28400,52,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
192.168.43.71 , 67.106.145.165 ,128,17520,638,0
151.101.8.175 , 192.168.43.71 ,56,58,1340,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
151.101.8.175 , 192.168.43.71 ,56,58,1340,0
151.101.8.175 , 192.168.43.71 ,56,58,1340,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
151.101.8.175 , 192.168.43.71 ,56,58,1340,0
151.101.8.175 , 192.168.43.71 ,56,58,129,0
151.101.8.175 , 192.168.43.71 ,56,58,40,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
192.168.43.71 , 151.101.8.175 ,128,68,133,0
151.101.8.175 , 192.168.43.71 ,56,58,1340,0
151.101.8.175 , 192.168.43.71 ,56,58,1340,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
192.168.43.71 , 151.101.8.175 ,128,68,556,0
151.101.8.175 , 192.168.43.71 ,56,58,1340,0
151.101.8.175 , 192.168.43.71 ,56,58,1340,0
151.101.8.175 , 192.168.43.71 ,56,58,129,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
192.168.43.71 , 151.101.8.175 ,128,68,133,0
192.168.43.71 , 151.101.8.175 ,128,68,586,0
192.168.43.71 , 23.77.61.199 ,128,67,40,0
192.168.43.71 , 23.77.61.199 ,128,0,40,0
192.168.43.71 , 151.101.8.175 ,128,573,40,0
192.168.43.71 , 104.108.198.176 ,128,319,40,0
192.168.43.71 , 104.108.198.176 ,128,64,40,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,1320,40,0
192.168.43.71 , 104.108.198.176 ,128,65,40,0
192.168.43.71 , 23.77.61.199 ,128,68,40,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
192.168.43.71 , 67.106.145.165 ,128,17520,40,0
192.168.43.71 , 23.77.61.199 ,128,65,40,0
151.101.8.175 , 192.168.43.71 ,56,58,298,0
151.101.8.175 , 192.168.43.71 ,56,60,40,0
151.101.8.175 , 192.168.43.71 ,56,60,298,0
192.168.43.71 , 151.101.8.175 ,128,67,40,0
192.168.43.71 , 151.101.8.175 ,128,67,40,0
151.101.8.175 , 192.168.43.71 ,56,60,40,0
151.101.8.175 , 192.168.43.71 ,56,64,71,0
151.101.8.175 , 192.168.43.71 ,56,56,40,0
151.101.8.175 , 192.168.43.71 ,56,64,40,0
104.108.198.176 , 192.168.43.71 ,57,337,71,0
104.108.198.176 , 192.168.43.71 ,57,337,40,0
104.108.198.176 , 192.168.43.71 ,57,313,71,0
104.108.198.176 , 192.168.43.71 ,57,313,40,0
104.108.198.176 , 192.168.43.71 ,57,378,71,0
104.108.198.176 , 192.168.43.71 ,57,378,40,0
104.108.198.176 , 192.168.43.71 ,57,326,71,0
104.108.198.176 , 192.168.43.71 ,57,326,40,0
104.108.198.176 , 192.168.43.71 ,57,288,71,0
104.108.198.176 , 192.168.43.71 ,57,288,40,0
192.168.43.71 , 151.101.8.175 ,128,0,40,0
192.168.43.71 , 151.101.8.175 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,0,40,0
192.168.43.71 , 104.108.198.176 ,128,0,40,0
192.168.43.71 , 104.108.198.176 ,128,0,40,0
192.168.43.71 , 104.108.198.176 ,128,0,40,0
192.168.43.71 , 104.108.198.176 ,128,0,40,0
104.108.198.176 , 192.168.43.71 ,57,337,71,0
104.108.198.176 , 192.168.43.71 ,57,337,40,0
192.168.43.71 , 104.108.198.176 ,128,0,40,0
23.77.61.199 , 192.168.43.71 ,56,245,71,0
23.77.61.199 , 192.168.43.71 ,56,245,40,0
23.77.61.199 , 192.168.43.71 ,56,229,40,0
192.168.43.71 , 23.77.61.199 ,128,0,40,0
192.168.43.71 , 23.77.61.199 ,128,68,40,0
67.106.145.165 , 192.168.43.71 ,231,34056,40,0
67.106.145.165 , 192.168.43.71 ,231,34056,115,0
192.168.43.71 , 67.106.145.165 ,128,17445,1260,0
192.168.43.71 , 67.106.145.165 ,128,17445,393,0
151.101.8.175 , 192.168.43.71 ,56,60,748,0
151.101.8.175 , 192.168.43.71 ,56,60,858,0
192.168.43.71 , 151.101.8.175 ,128,64,40,0
192.168.43.71 , 151.101.8.175 ,128,64,40,0
67.106.145.165 , 192.168.43.71 ,231,35688,40,0
192.168.43.71 , 67.106.145.165 ,128,17520,40,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
67.106.145.165 , 192.168.43.71 ,231,32483,40,0
67.106.145.165 , 192.168.43.71 ,231,39512,717,0
192.168.43.71 , 54.214.248.75 ,128,17520,52,0
192.168.43.71 , 67.106.145.165 ,128,16768,40,0
104.108.198.176 , 192.168.43.71 ,57,29200,52,0
104.108.198.176 , 192.168.43.71 ,57,29200,52,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,557,0
192.168.43.71 , 104.108.198.176 ,128,68,557,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
104.108.198.176 , 192.168.43.71 ,57,237,192,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
104.108.198.176 , 192.168.43.71 ,57,237,192,0
192.168.43.71 , 104.108.198.176 ,128,67,91,0
192.168.43.71 , 104.108.198.176 ,128,67,91,0
192.168.43.71 , 104.108.198.176 ,128,67,994,0
192.168.43.71 , 173.226.108.90 ,128,17520,52,0
104.108.198.176 , 192.168.43.71 ,57,252,40,0
192.168.43.71 , 54.214.248.75 ,128,17520,52,0
54.214.248.75 , 192.168.43.71 ,227,29200,52,0
192.168.43.71 , 54.214.248.75 ,128,68,40,0
192.168.43.71 , 54.214.248.75 ,128,68,557,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
192.168.43.71 , 173.226.108.90 ,128,17520,52,0
67.106.145.165 , 192.168.43.71 ,231,40958,40,0
192.168.43.71 , 67.106.145.165 ,128,16768,40,0
192.168.43.71 , 54.214.248.75 ,128,17520,52,0
54.214.248.75 , 192.168.43.71 ,228,29200,52,0
192.168.43.71 , 54.214.248.75 ,128,68,40,0
192.168.43.71 , 54.214.248.75 ,128,68,557,0
173.226.108.90 , 192.168.43.71 ,231,8190,44,0
54.214.248.75 , 192.168.43.71 ,227,119,40,0
192.168.43.71 , 173.226.108.90 ,128,17520,40,0
54.214.248.75 , 192.168.43.71 ,227,119,1340,0
54.214.248.75 , 192.168.43.71 ,227,119,1340,0
192.168.43.71 , 54.214.248.75 ,128,68,40,0
54.214.248.75 , 192.168.43.71 ,227,119,1340,0
54.214.248.75 , 192.168.43.71 ,227,119,236,0
54.214.248.75 , 192.168.43.71 ,227,119,1150,0
192.168.43.71 , 54.214.248.75 ,128,68,40,0
192.168.43.71 , 173.226.108.90 ,128,17520,557,0
192.168.43.71 , 54.214.248.75 ,128,68,166,0
192.168.43.71 , 54.243.123.36 ,128,17520,52,0
192.168.43.71 , 147.75.111.32 ,128,17520,52,0
192.168.43.71 , 52.201.27.16 ,128,17520,52,0
192.168.43.71 , 23.56.21.56 ,128,17520,52,0
192.168.43.71 , 151.101.10.49 ,128,17520,52,0
192.168.43.71 , 54.169.245.36 ,128,17520,52,0
173.226.108.90 , 192.168.43.71 ,231,8190,44,0
192.168.43.71 , 173.226.108.90 ,128,17520,40,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
104.108.198.176 , 192.168.43.71 ,57,252,803,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
192.168.43.71 , 54.243.123.36 ,128,17520,52,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
104.108.198.176 , 192.168.43.71 ,57,252,1340,0
104.108.198.176 , 192.168.43.71 ,57,252,105,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
151.101.10.49 , 192.168.43.71 ,56,28400,52,0
54.169.245.36 , 192.168.43.71 ,239,26883,52,0
54.214.248.75 , 192.168.43.71 ,229,29200,52,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
192.168.43.71 , 151.101.10.49 ,128,68,40,0
192.168.43.71 , 54.169.245.36 ,128,68,40,0
192.168.43.71 , 54.214.248.75 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,228,1015,0
192.168.43.71 , 54.169.245.36 ,128,68,557,0
192.168.43.71 , 52.201.27.16 ,128,17520,52,0
192.168.43.71 , 151.101.10.49 ,128,68,557,0
192.168.43.71 , 52.194.68.103 ,128,17520,52,0
192.168.43.71 , 147.75.111.32 ,128,17520,52,0
192.168.43.71 , 23.56.21.56 ,128,17520,52,0
192.168.43.71 , 103.15.158.129 ,128,17520,52,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 52.77.166.10 ,128,17520,52,0
192.168.43.71 , 13.35.189.102 ,128,17520,52,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
104.108.198.176 , 192.168.43.71 ,57,228,365,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
104.108.198.176 , 192.168.43.71 ,57,228,1010,0
54.214.248.75 , 192.168.43.71 ,228,119,40,0
23.56.21.56 , 192.168.43.71 ,56,29200,52,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 23.56.21.56 ,128,68,40,0
54.214.248.75 , 192.168.43.71 ,228,119,1340,0
54.214.248.75 , 192.168.43.71 ,228,119,1340,0
192.168.43.71 , 54.214.248.75 ,128,68,40,0
192.168.43.71 , 23.56.21.56 ,128,68,558,0
192.168.43.71 , 104.108.198.176 ,128,68,963,0
192.168.43.71 , 103.15.158.129 ,128,17520,52,0
192.168.43.71 , 13.35.189.102 ,128,17520,52,0
192.168.43.71 , 52.77.166.10 ,128,17520,52,0
192.168.43.71 , 52.194.68.103 ,128,17520,52,0
54.214.248.75 , 192.168.43.71 ,228,119,1340,0
54.214.248.75 , 192.168.43.71 ,228,119,236,0
192.168.43.71 , 54.214.248.75 ,128,68,40,0
54.214.248.75 , 192.168.43.71 ,228,119,1150,0
151.101.10.49 , 192.168.43.71 ,56,58,40,0
151.101.10.49 , 192.168.43.71 ,56,58,1340,0
151.101.10.49 , 192.168.43.71 ,56,58,1340,0
192.168.43.71 , 151.101.10.49 ,128,68,40,0
151.101.10.49 , 192.168.43.71 ,56,58,1340,0
151.101.10.49 , 192.168.43.71 ,56,58,1340,0
151.101.10.49 , 192.168.43.71 ,56,58,1340,0
151.101.10.49 , 192.168.43.71 ,56,58,707,0
54.169.245.36 , 192.168.43.71 ,239,110,1340,0
54.169.245.36 , 192.168.43.71 ,239,110,1340,0
54.169.245.36 , 192.168.43.71 ,239,110,1340,0
54.169.245.36 , 192.168.43.71 ,239,110,940,0
54.214.248.75 , 192.168.43.71 ,227,119,91,0
52.77.166.10 , 192.168.43.71 ,239,26883,52,0
13.35.189.102 , 192.168.43.71 ,243,29200,52,0
103.15.158.129 , 192.168.43.71 ,116,65535,52,0
147.75.111.32 , 192.168.43.71 ,50,29200,52,0
23.56.21.56 , 192.168.43.71 ,56,29200,52,0
54.243.123.36 , 192.168.43.71 ,221,26883,52,0
192.168.43.71 , 151.101.10.49 ,128,68,40,0
192.168.43.71 , 54.169.245.36 ,128,68,40,0
192.168.43.71 , 52.77.166.10 ,128,68,40,0
192.168.43.71 , 13.35.189.102 ,128,68,40,0
192.168.43.71 , 103.15.158.129 ,128,68,40,0
192.168.43.71 , 147.75.111.32 ,128,68,40,0
192.168.43.71 , 23.56.21.56 ,128,68,40,0
192.168.43.71 , 54.243.123.36 ,128,68,40,0
192.168.43.71 , 54.214.248.75 ,128,64,40,0
104.108.198.176 , 192.168.43.71 ,57,267,335,0
173.226.108.90 , 192.168.43.71 ,231,34654,1260,0
173.226.108.90 , 192.168.43.71 ,231,34654,1260,0
192.168.43.71 , 173.226.108.90 ,128,17520,40,0
173.226.108.90 , 192.168.43.71 ,231,34654,611,0
23.56.21.56 , 192.168.43.71 ,56,237,40,0
23.56.21.56 , 192.168.43.71 ,56,237,192,0
192.168.43.71 , 54.214.248.75 ,128,68,40,0
52.194.68.103 , 192.168.43.71 ,233,26883,44,0
52.77.166.10 , 192.168.43.71 ,239,26883,52,0
192.168.43.71 , 52.194.68.103 ,128,17520,40,0
192.168.43.71 , 52.77.166.10 ,128,68,40,0
103.15.158.129 , 192.168.43.71 ,116,65535,52,0
13.35.189.102 , 192.168.43.71 ,243,29200,52,0
192.168.43.71 , 103.15.158.129 ,128,68,40,0
192.168.43.71 , 13.35.189.102 ,128,68,40,0
192.168.43.71 , 151.101.10.49 ,128,68,133,0
192.168.43.71 , 54.214.248.75 ,128,64,166,0
192.168.43.71 , 54.169.245.36 ,128,68,166,0
192.168.43.71 , 173.226.108.90 ,128,16949,382,0
192.168.43.71 , 23.56.21.56 ,128,67,91,0
192.168.43.71 , 54.163.236.149 ,128,17520,52,0
192.168.43.71 , 147.75.111.32 ,128,68,557,0
192.168.43.71 , 103.15.158.129 ,128,68,557,0
192.168.43.71 , 104.108.198.176 ,128,67,40,0
192.168.43.71 , 13.35.189.102 ,128,68,557,0
192.168.43.71 , 52.77.166.10 ,128,68,557,0
192.168.43.71 , 52.194.68.103 ,128,17520,557,0
192.168.43.71 , 54.243.123.36 ,128,68,557,0
192.168.43.71 , 151.101.10.49 ,128,68,133,0
192.168.43.71 , 151.101.10.49 ,128,68,514,0
192.168.43.71 , 54.214.248.75 ,128,68,493,0
192.168.43.71 , 23.56.21.56 ,128,67,592,0
52.194.68.103 , 192.168.43.71 ,233,26883,52,0
192.168.43.71 , 52.194.68.103 ,128,68,40,0
192.168.43.71 , 54.163.236.149 ,128,17520,52,0
147.75.111.32 , 192.168.43.71 ,49,29200,52,0
151.101.10.49 , 192.168.43.71 ,56,58,298,0
192.168.43.71 , 147.75.111.32 ,128,68,40,0
54.169.245.36 , 192.168.43.71 ,239,110,282,0
54.243.123.36 , 192.168.43.71 ,223,26883,44,0
52.77.166.10 , 192.168.43.71 ,239,110,40,0
192.168.43.71 , 54.243.123.36 ,128,17520,40,0
192.168.43.71 , 54.169.245.36 ,128,67,546,0
192.168.43.71 , 151.101.10.49 ,128,67,40,0
52.77.166.10 , 192.168.43.71 ,239,110,1340,0
52.77.166.10 , 192.168.43.71 ,239,110,1340,0
52.77.166.10 , 192.168.43.71 ,239,110,754,0
151.101.10.49 , 192.168.43.71 ,56,58,106,0
13.35.189.102 , 192.168.43.71 ,243,119,40,0
52.201.27.16 , 192.168.43.71 ,226,26883,52,0
192.168.43.71 , 52.77.166.10 ,128,68,40,0
192.168.43.71 , 52.201.27.16 ,128,68,40,0
13.35.189.102 , 192.168.43.71 ,243,119,1340,0
13.35.189.102 , 192.168.43.71 ,243,119,1340,0
13.35.189.102 , 192.168.43.71 ,243,119,1340,0
192.168.43.71 , 13.35.189.102 ,128,68,40,0
13.35.189.102 , 192.168.43.71 ,243,119,1340,0
13.35.189.102 , 192.168.43.71 ,243,119,136,0
192.168.43.71 , 13.35.189.102 ,128,68,40,0
151.101.10.49 , 192.168.43.71 ,56,60,326,0
192.168.43.71 , 151.101.10.49 ,128,66,40,0
103.15.158.129 , 192.168.43.71 ,243,34450,1340,0
103.15.158.129 , 192.168.43.71 ,243,34450,140,0
192.168.43.71 , 103.15.158.129 ,128,68,40,0
103.15.158.129 , 192.168.43.71 ,243,34450,1278,0
23.56.21.56 , 192.168.43.71 ,56,237,40,0
23.56.21.56 , 192.168.43.71 ,56,246,40,0
192.168.43.71 , 52.77.166.10 ,128,68,166,0
192.168.43.71 , 13.35.189.102 ,128,68,166,0
23.56.21.56 , 192.168.43.71 ,56,246,378,0
192.168.43.71 , 103.15.158.129 ,128,63,382,0
192.168.43.71 , 151.101.10.49 ,128,66,78,0
192.168.43.71 , 52.201.27.16 ,128,68,557,0
192.168.43.71 , 52.77.166.10 ,128,68,133,0
192.168.43.71 , 52.77.166.10 ,128,68,390,0
192.168.43.71 , 13.35.189.102 ,128,68,546,0
52.194.68.103 , 192.168.43.71 ,233,26800,40,0
52.194.68.103 , 192.168.43.71 ,233,26800,1340,0
52.194.68.103 , 192.168.43.71 ,233,26800,1340,0
192.168.43.71 , 52.194.68.103 ,128,17520,40,0
52.194.68.103 , 192.168.43.71 ,233,26800,1340,0
52.194.68.103 , 192.168.43.71 ,233,26800,236,0
192.168.43.71 , 52.194.68.103 ,128,17520,40,0
52.194.68.103 , 192.168.43.71 ,233,26800,649,0
192.168.43.71 , 52.194.68.103 ,128,16911,166,0
192.168.43.71 , 23.56.21.56 ,128,66,40,0
192.168.43.71 , 54.169.245.36 ,128,67,40,0
192.168.43.71 , 52.77.166.10 ,128,68,82,0
192.168.43.71 , 13.35.189.102 ,128,68,40,0
54.169.245.36 , 192.168.43.71 ,239,114,325,0
52.77.166.10 , 192.168.43.71 ,239,110,314,0
192.168.43.71 , 54.169.245.36 ,128,0,40,0
52.77.166.10 , 192.168.43.71 ,239,110,109,0
13.35.189.102 , 192.168.43.71 ,243,119,298,0
52.77.166.10 , 192.168.43.71 ,239,110,78,0
52.77.166.10 , 192.168.43.71 ,239,114,392,0
52.77.166.10 , 192.168.43.71 ,239,114,78,0
54.214.248.75 , 192.168.43.71 ,228,119,91,0
103.15.158.129 , 192.168.43.71 ,243,35750,40,0
192.168.43.71 , 13.35.189.102 ,128,0,40,0
192.168.43.71 , 52.77.166.10 ,128,65,40,0
192.168.43.71 , 52.77.166.10 ,128,65,78,0
192.168.43.71 , 54.214.248.75 ,128,63,1147,0
103.15.158.129 , 192.168.43.71 ,243,37050,115,0
147.75.111.32 , 192.168.43.71 ,50,119,40,0
192.168.43.71 , 18.136.55.203 ,128,17520,52,0
147.75.111.32 , 192.168.43.71 ,50,119,1340,0
147.75.111.32 , 192.168.43.71 ,50,119,1340,0
192.168.43.71 , 147.75.111.32 ,128,68,40,0
147.75.111.32 , 192.168.43.71 ,50,119,1340,0
147.75.111.32 , 192.168.43.71 ,50,119,1335,0
151.101.10.49 , 192.168.43.71 ,56,60,40,0
54.214.248.75 , 192.168.43.71 ,227,123,400,0
192.168.43.71 , 147.75.111.32 ,128,68,40,0
192.168.43.71 , 147.75.111.32 ,128,68,166,0
54.163.236.149 , 192.168.43.71 ,225,26883,52,0
173.226.108.90 , 192.168.43.71 ,231,34312,40,0
192.168.43.71 , 54.163.236.149 ,128,68,40,0
192.168.43.71 , 54.163.236.149 ,128,68,557,0
173.226.108.90 , 192.168.43.71 ,231,34312,115,0
192.168.43.71 , 103.15.158.129 ,128,68,40,0
54.169.245.36 , 192.168.43.71 ,239,114,71,0
54.169.245.36 , 192.168.43.71 ,239,114,40,0
54.243.123.36 , 192.168.43.71 ,221,110,40,0
192.168.43.71 , 173.226.108.90 ,128,16874,557,0
192.168.43.71 , 173.226.108.90 ,128,16874,1260,0
192.168.43.71 , 173.226.108.90 ,128,16874,1260,0
192.168.43.71 , 173.226.108.90 ,128,16874,1260,0
192.168.43.71 , 173.226.108.90 ,128,16874,1260,0
192.168.43.71 , 173.226.108.90 ,128,16874,1260,0
192.168.43.71 , 173.226.108.90 ,128,16874,713,0
192.168.43.71 , 104.108.198.176 ,128,67,981,0
192.168.43.71 , 54.214.248.75 ,128,66,40,0
192.168.43.71 , 104.108.198.176 ,128,67,968,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
54.243.123.36 , 192.168.43.71 ,221,110,1340,0
54.243.123.36 , 192.168.43.71 ,221,110,1340,0
54.243.123.36 , 192.168.43.71 ,221,110,1340,0
54.243.123.36 , 192.168.43.71 ,221,110,236,0
54.243.123.36 , 192.168.43.71 ,221,110,1150,0
52.194.68.103 , 192.168.43.71 ,233,26800,91,0
13.35.189.102 , 192.168.43.71 ,243,123,40,0
13.35.189.102 , 192.168.43.71 ,243,123,71,0
13.35.189.102 , 192.168.43.71 ,243,123,40,0
52.77.166.10 , 192.168.43.71 ,239,114,40,0
18.136.55.203 , 192.168.43.71 ,239,26883,44,0
192.168.43.71 , 54.243.123.36 ,128,68,40,0
192.168.43.71 , 18.136.55.203 ,128,17520,40,0
192.168.43.71 , 54.243.123.36 ,128,68,166,0
192.168.43.71 , 18.136.55.203 ,128,17520,557,0
192.168.43.71 , 52.194.68.103 ,128,16860,40,0
52.201.27.16 , 192.168.43.71 ,226,110,40,0
52.201.27.16 , 192.168.43.71 ,226,110,1340,0
52.201.27.16 , 192.168.43.71 ,226,110,1340,0
52.201.27.16 , 192.168.43.71 ,226,110,1340,0
192.168.43.71 , 52.201.27.16 ,128,68,40,0
52.201.27.16 , 192.168.43.71 ,226,110,1340,0
192.168.43.71 , 52.201.27.16 ,128,68,40,0
52.201.27.16 , 192.168.43.71 ,226,110,1340,0
52.201.27.16 , 192.168.43.71 ,226,110,50,0
192.168.43.71 , 52.201.27.16 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,282,334,0
18.136.55.203 , 192.168.43.71 ,239,26800,40,0
18.136.55.203 , 192.168.43.71 ,239,26800,1340,0
18.136.55.203 , 192.168.43.71 ,239,26800,1340,0
192.168.43.71 , 18.136.55.203 ,128,17520,40,0
18.136.55.203 , 192.168.43.71 ,239,26800,821,0
104.108.198.176 , 192.168.43.71 ,57,251,40,0
104.108.198.176 , 192.168.43.71 ,57,251,333,0
104.108.198.176 , 192.168.43.71 ,57,29200,52,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 52.201.27.16 ,128,68,166,0
192.168.43.71 , 18.136.55.203 ,128,16739,166,0
192.168.43.71 , 104.108.198.176 ,128,68,557,0
192.168.43.71 , 104.108.198.176 ,128,66,1003,0
192.168.43.71 , 104.108.198.176 ,128,66,881,0
54.214.248.75 , 192.168.43.71 ,228,127,519,0
147.75.111.32 , 192.168.43.71 ,50,119,298,0
147.75.111.32 , 192.168.43.71 ,50,119,109,0
192.168.43.71 , 147.75.111.32 ,128,67,40,0
18.136.55.203 , 192.168.43.71 ,239,26800,91,0
192.168.43.71 , 54.214.248.75 ,128,68,40,0
192.168.43.71 , 18.136.55.203 ,128,16688,40,0
54.163.236.149 , 192.168.43.71 ,225,110,40,0
54.163.236.149 , 192.168.43.71 ,225,110,1340,0
54.163.236.149 , 192.168.43.71 ,225,110,1340,0
192.168.43.71 , 54.163.236.149 ,128,68,40,0
54.163.236.149 , 192.168.43.71 ,225,110,1340,0
54.163.236.149 , 192.168.43.71 ,225,110,236,0
192.168.43.71 , 54.163.236.149 ,128,68,40,0
54.163.236.149 , 192.168.43.71 ,225,110,1150,0
192.168.43.71 , 54.163.236.149 ,128,64,166,0
173.226.108.90 , 192.168.43.71 ,231,33795,40,0
104.108.198.176 , 192.168.43.71 ,57,297,319,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
104.108.198.176 , 192.168.43.71 ,57,237,192,0
104.108.198.176 , 192.168.43.71 ,57,266,40,0
54.243.123.36 , 192.168.43.71 ,221,110,91,0
173.226.108.90 , 192.168.43.71 ,231,36625,40,0
173.226.108.90 , 192.168.43.71 ,231,34185,40,0
173.226.108.90 , 192.168.43.71 ,231,32292,40,0
173.226.108.90 , 192.168.43.71 ,231,39582,397,0
192.168.43.71 , 173.226.108.90 ,128,16517,40,0
192.168.43.71 , 104.108.198.176 ,128,67,91,0
192.168.43.71 , 104.108.198.176 ,128,65,891,0
192.168.43.71 , 54.243.123.36 ,128,68,40,0
52.201.27.16 , 192.168.43.71 ,226,110,298,0
52.201.27.16 , 192.168.43.71 ,226,110,109,0
192.168.43.71 , 52.201.27.16 ,128,67,40,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
192.168.43.71 , 104.108.198.176 ,128,67,968,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
104.108.198.176 , 192.168.43.71 ,57,312,1340,0
104.108.198.176 , 192.168.43.71 ,57,312,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,312,1340,0
104.108.198.176 , 192.168.43.71 ,57,312,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,312,1340,0
104.108.198.176 , 192.168.43.71 ,57,312,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,312,1026,0
192.168.43.71 , 104.108.198.176 ,128,64,970,0
104.108.198.176 , 192.168.43.71 ,57,266,1340,0
104.108.198.176 , 192.168.43.71 ,57,266,373,0
54.163.236.149 , 192.168.43.71 ,225,110,91,0
52.201.27.16 , 192.168.43.71 ,226,26883,52,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
